Agent,City,Company,Description,Listing_ref,Price_2015,Price_2016,Price_2017,Price_2018,Price_2019,Price_2020,Price_2021,Price_2022,Price_2023,Price_2024,Price_2025,Property_type,Province,Surbub,amenities,bathrooms,bedrooms,building_area,land_area,listing_url
Gugulethu Ncube,Harare West,/estate-agents/golden-will,"[20/01, 11:35 am] Meta AI: Here's a polished version of the property listing: Bluffhill 3 Bedroom Cluster House for Sale Features - 3 spacious bedrooms, with 2 ensuites - Common bathroom - Fitted cupboards - Tiled floors - Deeds being transferred into a shelf company - Land size: 500-800sqm Options - *Complete:* $145,000 (fully finished and ready to occupy) - *Shell:* $140,000 (basic structure, ready for finishing touches) Location Bluffhill, Harare Contact us to schedule a viewing Bluffhill 3 Bedroom Cluster House for Sale Features - 3 spacious bedrooms, with 2 ensuites - Common bathroom - Fitted cupboards - Tiled floors - Deeds being transferred into a shelf company - Land size: 500-800sqm Options - *Complete:* $145,000 - *Shell:* $140,000 Location Bluffhill, Harare Contact us to schedule a viewing or inquire about the property!",Listing ref: GLRE211221,150000.0,125000.0,120000.0,160000.0,128000.0,140000.0,120000.0,130000.0,130000.0,130000.0,"USD 145,000 ",House,Harare,Bluff Hill,"Tiled,Main En Suite",1,3,250 m²,800 m²,https://www.property.co.zw//for-sale/houses-glre211221
Milton Chitakatira,Harare South,/estate-agents/khalida-realty,"Arlington East Luxury Home Location: - Situated in the highly sought-after neighborhood of Arlington East Property Details: - 558sqm property with deeds available - Price: US$255k Accommodation: - 4 spacious bedrooms, each with built-in cupboards for ample storage - Main bedroom en-suite with: - Walk-in closet for convenient storage - Corner bathtub for relaxation - Cabinet washing basin with porcelain wall tiles - Shower cubicle with fixed and awning window for natural ambiance Garage and Parking: - Double lock-up garage with secure parking for two vehicles Living Areas: - Formal lounge with: - Modern TV unit for entertainment - Open-plan design flowing into the kitchen - Kitchen: - Top-notch finishes with granite countertops - Separate scullery for convenient meal preparation Bathroom: - Combined bathroom and toilet with: - Glazed wall tiles for an exceptional aesthetic appeal - Corner bathtub for relaxation - Free-standing and ceramic washing basin Outdoor and Additional Features: - Lush and verdant garden perfect for outdoor relaxation - Neat swimming pool for refreshing dips - CCTV system for added security - 10Kv solar system for sustainable energy - 5000ltr tank and 2000ltr tank for water storage - Prolific borehole for a reliable water supply - Wall-mounted lights for ambient lighting - Electric gate for secure entrance - Single concrete basin for added convenience Security and Privacy: - Walled and gated property for added security and privacy",Listing ref: KHA211923,70000.0,,,0.0,95000.0,109000.0,115000.0,125000.0,147000.0,155000.0,"USD 255,000 ",House,Harare,Arlington,"Borehole,Air Conditioning,Electric Gate,Entertainment Area,Fitted Kitchen,Garage,Garden,Good ZESA,Internet Connection,Main En Suite,Paved,Sewer System,Solar System,Study/Office,Tarred Roads,Tiled,Verandah,Walled,Water Tank",3,4,200 m²,558 m²,https://www.property.co.zw//for-sale/houses-kha211923
Mandy Mupeti,Harare West,/estate-agents/pam-golding,"Pam Golding Properties is excited to bring to the market this brand-new and exclusive townhouse development in the heart of Marlborough! Designed by a renowned local architect, this modern townhouse complex features 18 units The Double Storey Design has two distinct types O Type 1: An open-plan lounge with a cozy Jetmaster fireplace, an adjoining dining room, and a beautiful, spacious kitchen equipped with fitted cupboards and quartz worktops. O Type 2: A separate kitchen from the living area, with a lounge and dining room. Bedrooms: Both designs include three bedrooms, with one bedroom located downstairs and two spacious ensuite bedrooms upstairs. Private Garden: Both designs come with private gardens, perfect for outdoor relaxation and activities. Parking: Double parking spaces are provided for each unit together with communal visitors' parking Additional Amenities include: -A shared borehole with each unit having its own storage water tank. - A children's play area - Two secure entrances to the complex, each with guard houses Price Starting from $220,000 VAT inclusive. Payment Terms: Option 1: Upfront payment. Take advantage of our 'no terms' payment and get a discount. Option 2: Minimum 40% deposit with the balance payable over 6 months interest-free. Option 3: Minimum 30% deposit with the balance payable over 24 months at an annual percentage rate (APR) of 15%. In addition to the standard payment terms, the developer may consider mortgage payments. This unique development combines modern luxury with practical living, making it an ideal choice for discerning homeowners. If you have any questions or would like to schedule a visit, please contact Grace or Mandy today ***units furnished by Urban Furnitures -Zimbabwe. Contact us for more details. ***",Listing ref: PGP216938,135000.0,135000.0,140000.0,150000.0,150000.0,150000.0,160000.0,160000.0,177000.0,270000.0,"USD 220,000 ",House,Harare,Marlborough,"Double Storey,Fireplace,Fitted Kitchen,Main En Suite,Paved,Tiled,Verandah,Walled,Water Tank",3,3,155 m²,350 m²,https://www.property.co.zw//for-sale/townhouses-pgp216938
Kristina Aboo,Harare North,/estate-agents/chas-everitt,"Chas Everitt International Property Group House For Sale in Mount Pleasant Heights Mount Pleasant Heights, Harare North, Harare USD 320,000 CEI0104 Description Just recently completed is this house for sale in the heart of Mount Pleasant Heights. It feature's 5 bedrooms, 3 ensuites with full bathrooms, 2 other bedrooms share a separate toilet and a bathroom, open plan lounge that comes with a made up tv wall, dining and a modern fitted kitchen with gloss finishing, scullery and a spacious fitted pantry The house also comes with a 3 bedroom cottage that you can rent out for that extra income. It comes with an open plan lounge, modern fitted kitchen and a full bathroom. Behind the main house you there is a Gazebo that overlooks a beautiful Victoria Falls Fountain. Extras; > 55m Borehole > 5000L water tank > 2 Septic tanks > DLUG > Beautiful garden CALL US TODAY TO ARRANGE FOR A VIEWING!!!!",Listing ref: CHAS218725,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 320,000 ",House,Harare,Mount Pleasant Heights,"Borehole,Electric Gate,Entertainment Area,Fitted Kitchen,Garage,Garden,Good ZESA,Main En Suite,Paved,Tiled,Verandah,Walled,Water Tank",4,5,800 m²,"1,900 m²",https://www.property.co.zw//for-sale/houses-chas218725
Lorraine Kruger,Harare North,/estate-agents/pam-golding,"CORNER UNITS NOW AVAILABLE! Pam Golding are excited to offer you this Premier residential townhouse development on Rhodesville Ave which is meticulously built by a renowned developer. Their extensive experience and market knowledge ensure effective project execution, and provide quality workmanship. They have tastefully designed 11 well-proportioned modern units, which are scheduled for completion by June 2025. Unit size 620sqm.  The open plan Kitchen/lounge/dining area open onto a private verandah, and provide a harmonising outdoor and indoor living space. The Contemporary design: Comprising: -	Master bedroom en-suite with shower and double vanity. -	2nd bedroom en-suite with bath and single vanity. -	Premium amenities -	Fitted kitchen -	Open plan living and dining area -	Private verandah. Extras include: -	Private Garden -	Triple carport -	2 Boreholes -  Gas and Solar Geysers -	Perimeter security and full-time private security service -	Solar panels and inverter provided Step into this superb development and secure your investment. It’s the perfect lock up and go!  Sectional Title.  Call Lorraine Kruger today for viewing arrangements.",Listing ref: PGP207887,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 238,000 ",House,Harare,Greendale North,"Borehole,Carport,Electric Gate,Fitted Kitchen,Garden,Internet Connection",2,2,163 m²,503 m²,https://www.property.co.zw//for-sale/townhouses-pgp207887
 Debra,Harare North,/estate-agents/realtor-ville,"Nestled in the heart of Borrowdale, this stunning property offers a unique blend of luxury, comfort, and tranquility. With its sprawling layout, modern amenities, and beautifully landscaped grounds, this residence is the epitome of elegance and sophistication. The property boasts five spacious bedrooms, two of which feature en-suite bathrooms, built-in cupboards (BIC), and two walk-in closets. Two lounges provide ample space for relaxation and entertainment, each leading out to beautiful verandahs perfect for alfresco dining or socializing. The kitchen is equipped with modern appliances and ample cabinetry, accompanied by a convenient scullery. Three separate toilets ensure that guests and family members have ample facilities. The property features a versatile entertainment room that can be used as a library, function room, or home theater. Four verandahs and a balcony offer breathtaking views of the surrounding landscape. The in-house swimming pool provides a refreshing oasis for relaxation and exercise. Four built-up garages provide secure parking and storage, while a separate 4-roomed cottage with its own toilet offers a cozy and private space for guests or family members. The property features a 15,000-liter water tank and borehole, supplemented by a booster pump. Two solar geysers provide a reliable and eco-friendly source of hot water. The property is secured by a brick wall and electric gate, ensuring maximum safety and privacy. Located in a quiet and safe close with VIP neighbors, this property is near all amenities of Borrowdale, including police stations, malls, medical facilities, and schools. The property has clean title deeds, ensuring a hassle-free transfer process.",Listing ref: RVL209299,345000.0,320000.0,345000.0,435000.0,320000.0,297500.0,300000.0,300000.0,385000.0,455000.0,"USD 390,000 ",House,Harare,Borrowdale,"Swimming Pool,Carport,Double Storey,Electric Gate,Entertainment Area,Fitted Kitchen,Flatlet/Cottage,Garden,Good ZESA,Internet Connection,Main En Suite,Paved,Sewer System,Tarred Roads,Tiled,Verandah,Walled,Water Tank",3,5,900 m²,"3,400 m²",https://www.property.co.zw//for-sale/houses-rvl209299
Vivian K.N,Bulawayo North,/estate-agents/ranangaproperties,"Looking for a comfortable, secure, and energy-efficient home? This 4-bedroom family house in Mahatshula North sits on a 734 sqm corner stand and is perfect for those who value space, convenience, and modern living. Main House Features =4 Bedrooms – Main bedroom designed for an ensuite & walk-in wardrobe =Provision for Fitted Wardrobe Facilities in 3 bedrooms =Spacious Lounge & Dining Area – Great for entertaining =Well-Laid-Out Kitchen – With pantry & scullery for extra storage =Modern Bathroom Setup – Combined toilet, bath, and shower =Fully Tiled Floors – Easy to maintain & stylish Sustainable & Secure Living =5kVA Solar System – Power your home with brand-new 2 x 150Ah 48V lithium batteries- all ZESA worries fixed! =Borehole – Reliable water supply all year round =Aluminium Windows – Modern and durable =Secure Property – Fenced all around for peace of mind Bonus! Stand-Alone Cottage =4-Roomed Cottage – Ideal for rental income or extended family =Own ZESA Meter – Independent electricity supply =Outdoor Space =Family Garden – Plenty of room for gardening, kids’ play, or relaxing outdoors This home is perfect for families, investors, or anyone looking for a well-equipped property in a great location! Call/WhatsApp for more details & viewing",Listing ref: RANG217292,55000.0,55000.0,55000.0,60000.0,53500.0,62000.0,65000.0,65500.0,65000.0,70000.0,"USD 70,000 ",House,Bulawayo,Mahatshula,"Borehole,Fireplace,Flatlet/Cottage,Garage,Garden,Good ZESA,Main En Suite,Main Road Frontage,Municipal Water,Sewer System,Solar System,Tarred Roads,Tiled,Verandah,Walled",2,4,734 m²,200 m²,https://www.property.co.zw//for-sale/houses-rang217292
Rachel Mutyavaviri,Harare North,/estate-agents/golden-will,"Magnificent 8-Bedroomed Estate for Sale in Brookview Experience luxury living in this stunning double-storey mansion, boasting: - 8 spacious bedrooms - Heated swimming pool with in-pool bar stools - Gazebo and beautifully landscaped gardens - Top-quality finishes throughout - Double garage and additional 2-bedroomed cottage - Fully walled and gated for maximum security and privacy - ?Asking price $1.2M Perfect for discerning buyers seeking a luxurious lifestyle.",Listing ref: GLRE211422,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 1,200,000 ",House,Harare,Brookview,"Borehole,Double Storey,Fitted Kitchen,Garden,Garage,Paved,Parking bay,Walled,Tiled,Verandah,Flatlet/Cottage",1,8,"2,000 m²","4,047 m²",https://www.property.co.zw//for-sale/houses-glre211422
Cleophas Pfigu,Harare North,/estate-agents/guest-and-tanner,"This property generous sits on 5090 sqm stand, and features all your need for luxurious living. * 5 Bedrooms (3 en-suite) * 3 Spacious Lounges Large Kitchen with a separate scullery & pantry * Laundry area An Inviting pool surrounded by a manicured Garden * Gazebo with restroom - Providing perfect  Entertaining * 4- Roomed cottage ideal for guests or for rental income The property comes with prolific borehole for your garden and home. the property is alarmed and Includes a small solar fitting. Clean Title Deeds",Listing ref: GAT215891,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 600,000 ",House,Harare,Helensvale,"Borehole,Swimming Pool,Carport,Double Storey,Electric Gate,Fitted Kitchen,Flatlet/Cottage,Good ZESA,Main En Suite,Municipal Water,Solar System,Staff Quarters,Tarred Roads,Tiled,Verandah,Walled,Water Tank",4,5,,"5,090 m²",https://www.property.co.zw//for-sale/houses-gat215891
Tawanda Musevenzo,Mutare,/estate-agents/pam-golding,"On offer for sale is a neat 4 bedroomed home with modern finishes. The main bedroom has an ensuite bathroom, lounge, a recently renovated kitchen and two more bathrooms. There is a Solar power back-up and two solar geysers. The well maintained garden and paved driveways give the property a fresh feel. Get in touch to arrange to view this gem in Murambi.",Listing ref: PGP214972,80000.0,85000.0,90000.0,30000.0,71500.0,75000.0,85000.0,100000.0,117500.0,117500.0,"USD 195,000 ",House,Manicaland,Murambi,Entertainment Area,3,4,280 m²,"2,200 m²",https://www.property.co.zw//for-sale/houses-pgp214972
Theresa Fox,Harare North,/estate-agents/clark-properties,"Don’t miss this opportunity to purchase your dream family home. Stunning Double-Storey Family Home in Borrowdale West.  Clark Properties is delighted to present this exquisite and immaculate double-storey home, perfectly designed for family living and entertaining. Nestled on a generous 2,050 sqm plot, this stunning residence boasts a spacious entrance hall leading into an open-plan lounge, complemented by a modern, well-designed kitchen with a separate scullery. The home also features a bar/entertainment area, a formal dining room, a gym and a TV lounge upstairs for added comfort.  Upstairs, you’ll find four generously sized en-suite bedrooms, including a luxurious master suite with an expansive walk-in dressing room and a private balcony overlooking beautifully manicured gardens with lush green lawns and palm trees. Adding to the appeal, the property includes a self-contained 2-bedroom cottage with an open-plan kitchen, lounge, and dining area. Additional features include a Double lock-up garage.  The property is fully walled with an electric gate and electric fence.  A Borehole with a 5,000L backup water tank.  Ideally located,  near schools and shopping centers.  This is a rare opportunity to secure a dream home in a sought-after neighborhood. Contact Theresa1 today to arrange a viewing!",Listing ref: CLRP214638,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 590,000 ",House,Harare,Borrowdale West,"Borehole,Double Storey,Electric Fence,Electric Gate,Fitted Kitchen,Garage,Garden,Main En Suite,Staff Quarters,Tiled,Water Tank",4,5,450 m²,"2,050 m²",https://www.property.co.zw//for-sale/houses-clrp214638
Beatrice ,Bulawayo South,/estate-agents/stonebridge-real-estate,"This delightful property features: - Garage with additional storage space - Cozy cottage with: • Lounge area for relaxation • Dining room for family meals • Office/study for work or hobbies • Kitchen for easy meal prep • Family bathroom • Separate toilet - 3 bedrooms, including: • Main bedroom with en-suite bathroom • Built-in cupboards (BIC) for ample storage Security Features: - Walled and gated property for added security and peace of mind A perfect haven for a small family, couple, or individual seeking a low-maintenance and charming living space!""",Listing ref: SBRE216113,100000.0,85000.0,88500.0,110000.0,75000.0,115000.0,120000.0,120000.0,110000.0,105000.0,"USD 110,000 ",House,Bulawayo,Malindela,"Fitted Kitchen,Flatlet/Cottage,Garage,Garden,Good ZESA,Parking bay,Paved,Sewer System,Tiled,Walled,Water Tank",1,3,1 m²,1 m²,https://www.property.co.zw//for-sale/houses-sbre216113
Karen Mushonga,Harare North,/estate-agents/hollands,"Mount Pleasant 390k Needs TLC a 4-bedroom home nestled in the lush suburbs of Mount  Pleasant, Northwood, Harare North. This  property sits  on land  of 4065 m²  of prime real estate, providing an undeniable sense of freedom and tranquillity. The dwelling offers a generous building area of 500 m², a house that you can turn into a home    due to the  comfortable living space. The house, comprises 4 spacious bedrooms and 2 outdated bathrooms,  caters to a mid-sized families or a developer. The   property, due to  It's spaciousness, would be suitable for an upmarket simplex home development  gated community. The location being ideal for those who would want to stay in this quiet neighbourhood without a big yard to maintain... Yet  seamlessly transition into a smaller home in the same neighbourhood. This home's charm is further amplified by it's location,  that include a unused swimming  pool – a  component of the property providing the ultimate relaxation and relief from Zimbabwe's sunny days. Adding to the house's sustainability and self-sufficiency is the well-maintained borehole that guarantees constant water supply all through the year. Located at the heart of Harare North, this property assures you of easy accessibility to various social amenities, schools, shops and entertainment spots, yet sits in a relatively quiet neighbourhood away from the city humdrum. The proud new owner/developer will not only own a magnificent home, but also a fantastic investment opportunity in one of Harare's highly sought-after suburbs. This is the ultimate haven for those who appreciate family-oriented and harmonious living with a touch of luxury. Don't miss out on making this spectacular  Zimbabwean property your own! Or your exclusive development for those looking to retire!",Listing ref: HEE217066,240000.0,240000.0,262500.0,350000.0,277500.0,257500.0,270000.0,290000.0,350000.0,400000.0,"USD 390,000 ",House,Harare,Mount Pleasant,"Swimming Pool,Borehole,Garage,Fireplace,Fitted Kitchen,Garden,Staff Quarters,Water Tank",2,4,500 m²,"4,065 m²",https://www.property.co.zw//for-sale/houses-hee217066
Ty Kenee,Harare East,/estate-agents/property-link,"Discover your ideal home or your next rental investment opportunity in this stunning and modern 2-bedroom, 2-bathroom cluster house. Featuring a spacious double-volume, open-plan living area and contemporary finishes throughout with a separate guest toilet for added convenience. This home is designed for both comfort and functionality! Key Features: - 163 sqm Floor Area on a 503 sqm Land Area (Total land area 6870 sqm) - Fitted Gas Stove in a modern kitchen with sleek finishes. - Ensuite bathrooms in both bedrooms. - Side entrance to separate scullery with inverter (BYOB) - 40,000-litre water storage tanks for the complex (20,000L for Borehole water & 20,000L for CoH) - 2 x Complex / Communal Boreholes (Water Flow Rates: 350 litres per hour & 400 litres per hour) - Separate CoH individual rates meters per unit. - Private Garden with veranda for peaceful, outdoor space. - Each unit is fully walled for privacy and security. - Estimated completion date set as end of June - 11 x Units Total in Complex This home offers a perfect blend of style, practicality and charm. LAST 2 UNITS AVAILABLE - Don't miss out on this exceptional opportunity! Contact Ty for more details and to schedule a viewing.",Listing ref: PRL215698,180000.0,160000.0,200000.0,207000.0,150000.0,155000.0,192000.0,230000.0,230000.0,250000.0,"USD 220,000 ",House,Harare,Greendale,"Borehole,Carport,Electric Gate,Fitted Kitchen,Garden,Internet Connection,Main En Suite,Municipal Water,Parking bay,Paved,Solar System,Tiled,Verandah,Walled,Water Tank",2,2,163 m²,503 m²,https://www.property.co.zw//for-sale/townhouses-prl215698
Simon Mbendera,Harare North,/estate-agents/khalida-realty,"House for Sale in Greendale Located on Harare Drive with stunning road frontage, this property offers a perfect blend of comfort, entertainment, and investment potential. *Key Features* - 3 spacious bedrooms, including a luxurious main bedroom with an en-suite bathroom - Beautiful lounge and dining area, ideal for relaxation and family gatherings - Office room for productivity and work - Fitted kitchen with pantry and scullery for efficient meal preparation - Reliable borehole with a 5,000-litre water storage tank for a steady water supply - Secure property with: - Walled premises - Paved driveway - Electric gated entrance - Entertainment areas: - Beautiful shade with a bar area - Swimming pool for recreation and leisure - Guest wing: - 1 bedroom - Kitchen - Lounge - Pantry - Bathroom - Car port accommodating two cars *Documentation* - Title Deed available *Asking Price* $450,000 Don't miss out on this fantastic opportunity! Contact us today to schedule a viewing.",Listing ref: KHA218241,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 450,000 ",House,Harare,Greendale North,"Borehole,Swimming Pool,Burglar Alarm,Carport,Electric Gate,Entertainment Area,Fireplace,Fitness Center,Fitted Kitchen,Flatlet/Cottage,Garage,Garden,Good ZESA,Internet Connection,Main En Suite,Main Road Frontage,Municipal Water,Parking bay,Paved,Staff Quarters,Study/Office,Tarred Roads,Tiled,Verandah,Walled,Water Tank,Wooden Floor",3,4,2 m²,"4,500 m²",https://www.property.co.zw//for-sale/houses-kha218241
Forward Tafa,Ruwa,/estate-agents/carson-and-carson,"Discover your dream home in the serene community of Mabvazuva, Ruwa, in picturesque Mashonaland East. This charming four-bedroom, dining, lounge, kitchen, pantry, two-bathroom haven is a unique blend of modern amenities and traditional comforts. Set on a spacious 400 m², the house spans 260 m², offering ample space for your family to thrive. Step inside to find a contemporary, tiled interior, seamlessly leading you to an expansive living area designed for relaxation and family gatherings. This property boasts a multitude of features, including a reliable ZESA power supply, ensuring uninterrupted comfort. Two bedrooms comes with an en suite bathroom, offering a private retreat within the home. Outside, you'll appreciate the security provided by a high wall and a double garage for secure parking. The paved surroundings provide easy access, and the beautifully maintained verandah is perfect for enjoying Zimbabwe's warm climates. Municipal water and a dedicated 5000L water tank ensuring a steady supply. The property is well-connected, with tarred roads leading you right to the gate, and a functional sewer system in place for added convenience. In this tranquil setting of Mabvazuva, you are assured peace, security, and modern living—all within a quality-built home. Make this dream property yours and experience the perfect balance of city convenience and country charm.",Listing ref: CAC214915,48000.0,45000.0,50000.0,45000.0,50000.0,45000.0,61000.0,58000.0,58000.0,75000.0,"USD 110,000 ",House,Mashonaland East,Mabvazuva,"Garage,Good ZESA,Main En Suite,Municipal Water,Paved,Sewer System,Solar System,Tarred Roads,Tiled,Verandah,Walled,Water Tank",2,4,260 m²,400 m²,https://www.property.co.zw//for-sale/houses-cac214915
Blessing Mangachena ,Harare North,/estate-agents/cbz,"Available in a prime location, a stone throw from Highland Park is a 4 bedroomed duplex garden flat in a complex with 6 units. Modern layout, ground floor consists of open plan lounge and kitchen with hob and oven, 2 guest bedrooms with shower and guest toilet. Upstairs comprises of pyjama lounge, 2 bedrooms and family shower. Property is walled and electric fenced with 24 hour security and borehole.",Listing ref: CBZ218936,295000.0,315000.0,280000.0,280000.0,320000.0,260000.0,310000.0,310000.0,460000.0,450000.0,"USD 350,000 ",House,Harare,Highlands,"Borehole,Good ZESA,Fitted Kitchen,Double Storey,Verandah,Wooden Floor",2,4,850 m²,"1,700 m²",https://www.property.co.zw//for-sale/townhouses-cbz218936
Mefort Chimhoga,Harare South,/estate-agents/leanvest-properties,"FOR SALE: 3-Bedroom House in Prospect Park Spacious, Secure & Renovate to Your Taste! Price: USD $90,000 Property Features: - 3 bedrooms, main en-suite - Dated kitchen (ready for renovation) - Combined dining and lounge area - Separate toilet - Walled and gated for security - 1000 sqm of land Location: Prospect Park Contact Us: For viewing and more details, call: Mefort:0 Don't miss out on this incredible opportunity to own a spacious and secure home in Prospect Park!",Listing ref: LNVP216852,80000.0,80000.0,85000.0,92500.0,78000.0,78000.0,80000.0,85000.0,95000.0,120000.0,"USD 90,000 ",House,Harare,Prospect,,,3,"1,000 m²","1,000 m²",https://www.property.co.zw//for-sale/townhouses-lnvp216852
Jacob Chowa,Harare West,/estate-agents/bloom-well,"Renovator’s Dream with Huge Potential! Strategically located just 200 metres off Harare Drive, this brick-under-tile residential property sits on a sprawling 3024sqm piece of land with full Title Deeds. Perfectly positioned close to essential services, schools, and shopping centres, it offers both convenience and investment appeal. The property features: 6 spacious bedrooms (3 in each wing with all wings self contained) Well-sized kitchen Lounge area Bathrooms Double lock-up garage Beyond its current structure, the expansive land presents excellent opportunities for further development — whether you're considering subdivision, cluster development, or simply creating your dream home. A true renovator’s delight! Unlock the massive potential of this property with your personal touch or future development plans. To arrange a private viewing, please contact our Sales Team today!",Listing ref: BLMP218671,150000.0,125000.0,120000.0,160000.0,128000.0,140000.0,120000.0,130000.0,130000.0,130000.0,"USD 195,000 ",House,Harare,Bluff Hill,"Borehole,Fireplace,Garage,Garden,Good ZESA,Main En Suite,Municipal Water,Tarred Roads,Verandah,Walled",3,6,600 m²,"3,024 m²",https://www.property.co.zw//for-sale/houses-blmp218671
Gugulethu Ncube,Harare North,/estate-agents/golden-will,"BORROWDALE TO RENT! Location: Borrowdale, Harare For Rent: $4,500 per month Features: 4 spacious bedrooms 2 en-suite bathrooms 2 spacious bedrooms with 1 common bathroom 1 guest toilet Modern fitted kitchen Dining and lounge area Office/study Double open garage Staff quarters Walled and gated for security Sparkling swimming pool Beautiful garden Laundry room 4000sqm stand Title Deeds available Private sale Don't miss out on this incredible opportunity! Contact us to schedule a viewing.",Listing ref: GLRE218372,345000.0,320000.0,345000.0,435000.0,320000.0,297500.0,300000.0,300000.0,385000.0,455000.0,"USD 4,500 ",House,Harare,Borrowdale,"Borehole,Swimming Pool,Double Storey,Main En Suite,Walled,Water Tank",4,4,900 m²,"4,000 m²",https://www.property.co.zw//for-sale/houses-glre218372
Nigel Jones,Harare North,/estate-agents/royal-properties,"Royal Properties presents Modern Double-Story House for Sale in Chisipite* *Downstairs Features:* - 3 bedrooms, all en-suite - 2 dining areas - Lounge - Modern kitchen with built-in cupboards (BICs) - Welcome pad - Double lock-up garage *Upstairs Features:* - Dining area - Separate bathroom and toilet - 4 bedrooms, 2 with en-suite bathrooms - 3 balcony areas - Entertainment area *Additional Amenities:* - 4 beds cottage all ensuite - Fully alarmed security system - Swimming pool - Solar power system - 2 boreholes This modern house offers a luxurious living experience in a secure and convenient location. Don't miss out",Listing ref: RPT214670,320000.0,295000.0,320000.0,300000.0,280000.0,317500.0,325000.0,440000.0,490000.0,550000.0,"USD 1,200,000 ",House,Harare,Chisipite,"Borehole,Swimming Pool,Double Storey,Electric Fence,Electric Gate,Entertainment Area",8,11,"2,000 m²","6,000 m²",https://www.property.co.zw//for-sale/houses-rpt214670
Washington Chitsinde,Harare North,/estate-agents/homelux-real-estate,"Situated in sought-after, well established Highlands, 3 on Corfe Road luxury homes offer a higher quality of living for you and your family. With a range of contemporary and comfortable homes designed to cater to the modern families’ needs, these luxury homes are tailored to your highest standards. These tastefully designed homes promise a living experience like no other. Each home has been tastefully designed to exude simplicity, elegance and luxury. Featuring the finest premium quality finishes, state-of-the-art appliances, modern paint colour palettes, sleek marble stone and LED ambient lighting to enhance each space and create the perfect atmosphere for relaxation, these homes offer timeless elegance and luxury of the highest standard.",Listing ref: HLX213813,295000.0,315000.0,280000.0,280000.0,320000.0,260000.0,310000.0,310000.0,460000.0,450000.0,"USD 360,000 ",House,Harare,Highlands,"Carport,Double Storey,Electric Fence,Electric Gate,Fireplace,Fitted Kitchen,Garage,Garden,Main En Suite,Paved,Tiled,Walled,Water Tank",3,5,212 m²,650 m²,https://www.property.co.zw//for-sale/townhouses-hlx213813
Maude Deketeke,Norton,/estate-agents/seeff,"Discover the perfect blend of comfort and potential with this stunning double-story home nestled in the heart of Norton Twinlakes. This spacious property offers an array of possibilities, ideal for both investors and homeowners seeking a versatile living space. Key Features: Upstairs: 4 bedrooms, 5 modern bathrooms Downstairs: 3 bedrooms, including a guest wing, 2 lounges, guest toilet Kitchen: Unfitted for your personal touch, complete with scullery and laundry room Versatile Space: Spacious room suitable for a theater, gym, or even a conference room. Double lock up garage Land Area: Generous 3040sqm council cession Whether you envision a luxurious family home, a thriving events venue, or a comfortable lodge, this property offers endless possibilities. Don't miss this opportunity to make this exceptional home your own!",Listing ref: SEF203648,38000.0,45000.0,37000.0,40000.0,45000.0,50000.0,50000.0,55000.0,50000.0,67000.0,"USD 250,000 ",House,Mashonaland West,Twinlakes,,5,7,300 m²,"3,040 m²",https://www.property.co.zw//for-sale/houses-sef203648
Pardon Rukasha,Harare South,/estate-agents/pam-golding,"We are proud to present this solid 4-bedroom 4-bathroom house on an acre situated in a cul-de-sac a few hundred metres from Simon Mazorodze. The house consists of the following: - 4 bedrooms two ensuite -family lounge -dining room -fitted kitchen -3 roomed staff quarters -2 bed cottage -3kva solar back up The property sits on 1 acre, is walled and gated and has a clean title deed.",Listing ref: PGP219117,80000.0,85000.0,90000.0,110000.0,90000.0,85000.0,98000.0,110000.0,115000.0,130000.0,"USD 240,000 ",House,Harare,Waterfalls,"Borehole,Burglar Alarm,Carport,Electric Fence,Fitted Kitchen,Flatlet/Cottage,Garden,Good ZESA,Internet Connection,Main En Suite,Municipal Water,Solar System,Staff Quarters,Tarred Roads,Tiled,Verandah,Walled,Water Tank",4,4,280 m²,"4,036 m²",https://www.property.co.zw//for-sale/houses-pgp219117
